stop_id,stop_code,stop_name,stop_lat,stop_lon
CPR009,CPR009,CASORATE PRIMO Battisti/Europa Unita,45.3127096,9.01526117
CPR010,CPR010,CASORATE PRIMO Battisti/De Gasperi,45.30985091,9.01271413
CPS001,CPS001,CAMPOSPINOSO Roma/Del Torchio,45.10525727,9.2434634
CPS002,CPS002,CAMPOSPINOSO Roma/Del Torchio,45.10524221,9.243581
CPS003,CPS003,CAMPOSPINOSO Casette/Grisini,45.09319776,9.25332488
CPS004,CPS004,CAMPOSPINOSO Casette/Grisini,45.09219631,9.25403604
CPS005,CPS005,CAMPOSPINOSO Casette/Da Vinci,45.09678522,9.25004064
CPS006,CPS006,CAMPOSPINOSO Casette/Moro,45.0978016,9.24929318
CRA005,CRA005,CERANO IV Novembre/Marchetti,45.41103908,8.78220528
CRA006,CRA006,CERANO Novara/Mascagni,45.41492745,8.77739976
CRA007,CRA007,CERANO IV Novembre/Marchetti,45.41083084,8.78218819
CRA008,CRA008,CERANO Novara/Mascagni,45.41490171,8.77724727
CRP001,CRP001,CARPIANO Draghetto - Rossa (Gnignano),45.33050524,9.24527652
CRP002,CRP002,CARPIANO Draghetto - Rossa (Gnignano),45.33048565,9.24518297
CSQ001,CSQ001,CORVINO S.QUIRICO Casa Castellini - SP46,45.02235793,9.15551328
CSQ002,CSQ002,CORVINO S.QUIRICO Casa Castellini - SP46,45.02240138,9.15542016
CSQ003,CSQ003,CORVINO S.QUIRICO Casa Ferrari (Chiesa),45.01343892,9.16054473
CSQ004,CSQ004,CORVINO S.QUIRICO Casa Ferrari (Chiesa),45.01372082,9.16032014
CSQ005,CSQ005,CORVINO S.QUIRICO Roma/Rampa,45.01014615,9.16243904
CSQ006,CSQ006,CORVINO S.QUIRICO Roma/Rampa,45.01012806,9.16236672
CSQ007,CSQ007,CORVINO S.QUIRICO Fumo - SP10/Sanzio,45.02412243,9.15143998
CSQ008,CSQ008,CORVINO S.QUIRICO Fumo - SP10/Sanzio,45.02417679,9.15140681
CSQ009,CSQ009,CORVINO S.QUIRICO Oratorio - SP46/Mazzolino,45.0066196,9.16150307
CSQ010,CSQ010,CORVINO S.QUIRICO Oratorio - SP46/Mazzolino,45.00654865,9.16143151
CSQ011,CSQ011,CORVINO S.QUIRICO Fumo (Santuario),45.02557641,9.15632772
CSQ012,CSQ012,CORVINO S.QUIRICO Fumo (Santuario),45.02540896,9.15631742
CTI001,CTI001,CARBONARA AL TICINO Risorgimento/Moretti,45.16408273,9.06119557
CTI004,CTI004,CARBONARA AL TICINO SP596 Dei Cairoli,45.16216288,9.06624121
CTI006,CTI006,CARBONARA AL TICINO SP596 Dei Cairoli,45.16157358,9.06957035
CTI007,CTI007,CARBONARA AL TICINO Risorgimento/Moretti,45.16410581,9.06118201
CTS001,CTS001,"CASATISMA SP35 Dei Giovi, 15 (Bettole)",45.04980742,9.13390442
CTS002,CTS002,"CASATISMA SP35 Dei Giovi, 15 (Bettole)",45.04986125,9.13405059
CTS003,CTS003,CASATISMA Libertà/Guniforto,45.04766026,9.128967
CTS004,CTS004,CASATISMA Libertà/Guniforto,45.04767603,9.12884005
CVE001,CVE001,CERVESINA Vittorio Emanuele II,45.06318978,9.01520346
CVE002,CVE002,CERVESINA Vittorio Emanuele II,45.06340852,9.01557461
CVE003,CVE003,CERVESINA S.Gaudenzio - Moretti/Arcipretura,45.04785749,9.00814878
CVE004,CVE004,CERVESINA Marconi/Casone,45.0563338,9.01646533
CVE005,CVE005,CERVESINA Marconi/Casone,45.05613304,9.01647273
CVE006,CVE006,CERVESINA Pancarana/Don Orione,45.06464421,9.02067863
CVE007,CVE007,CERVESINA Pancarana/Don Orione,45.06443486,9.02069825
CVE008,CVE008,CERVESINA Buschi (Cascina Bonesca),45.069385,9.02866287
CVE009,CVE009,CERVESINA Buschi (Cascina Bonesca),45.0691512,9.02883013
CVG002,CVG002,CALVIGNANO Roma (Municipio),44.98268088,9.1689875
CVN001,CVN001,CASANOVA LONATI Campanina,45.11139207,9.20977318
CVN002,CVN002,CASANOVA LONATI Campanina,45.11141351,9.20971552
CVN003,CVN003,CASANOVA LONATI Alberti (Municipio),45.09379906,9.21380795
CVN004,CVN004,VERRUA PO SP82 (Ponte Scuropasso),45.1072508,9.20412543
CVN005,CVN005,VERRUA PO SP82 (Ponte Scuropasso),45.10729549,9.20402014
CVN006,CVN006,CASANOVA LONATI Alberti (Municipio),45.09369762,9.21381697
CVO001,CVO001,CASSOLNOVO Roma/Marconi,45.35788685,8.81313806
CVO002,CVO002,CASSOLNOVO Roma/Marconi,45.35819027,8.81299518
CVO003,CVO003,CASSOLNOVO Molino del Conte - Trento/Udine,45.35018508,8.82015881
CVO004,CVO004,CASSOLNOVO Molino del Conte - Trento/Trieste,45.34933777,8.82114824
CVO005,CVO005,"CASSOLNOVO Molino del Conte - Gorizia, 41",45.34655893,8.8237743
CVO006,CVO006,CASSOLNOVO Carlo Alberto/Cavour,45.36316682,8.80900978
CVO007,CVO007,CASSOLNOVO Carlo Alberto/Delle Noci,45.36855621,8.80655043
CVO008,CVO008,CASSOLNOVO Carlo Alberto/Tornura,45.36863332,8.80637461
CVO009,CVO009,"CASSOLNOVO Molino del Conte - Gorizia, 41",45.34679306,8.82330511
CVO012,CVO012,CASSOLNOVO Carlo Alberto/Cavour,45.36297431,8.80902162
DOR001,DOR001,DORNO Bonacossa/Marconi,45.15493134,8.9507145
DOR002,DOR002,DORNO Bonacossa/Marconi,45.15487949,8.95066682
DOR003,DOR003,DORNO Conte Bonacossa/Canevari,45.15802208,8.94876112
DOR004,DOR004,DORNO Scaldasole/Fermi/De Gasperi,45.14896471,8.95059043
DOR005,DOR005,DORNO Scaldasole/Fermi/De Gasperi,45.14916698,8.9504029
DOR006,DOR006,DORNO Conte Bonacossa/Canevari,45.15839336,8.94817505
FCU001,FCU001,FABBRICA CURONE Roma - SP100,44.7824456,9.14939225
FCU002,FCU002,FABBRICA CURONE Roma - SP100,44.7831205,9.14871937
FCU003,FCU003,FABBRICA CURONE Pareto - SP111,44.79322282,9.16579642
FCU004,FCU004,FABBRICA CURONE Pareto - SP111,44.7932717,9.16577826
FGH001,FGH001,FILIGHERA Montesano - SP37,45.18355741,9.29397481
FGH002,FGH002,FILIGHERA Montesano - SP37,45.18374486,9.29384764
FGH003,FGH003,FILIGHERA Cairoli/Monaca,45.17669306,9.3145853
FGH004,FGH004,FILIGHERA Cairoli/Monaca,45.17635406,9.31551861
FGH005,FGH005,FILIGHERA Gui/Negri,45.17521583,9.3169296
FGH006,FGH006,FILIGHERA Gui/Negri,45.17523708,9.31681627
FLO001,FLO001,FRASCAROLO Grande (Chiesa),45.04609511,8.68269457
FLO002,FLO002,FRASCAROLO Roma/Zara,45.04837151,8.67909853
FLO003,FLO003,FRASCAROLO Roma/Zara,45.04837922,8.67913512
FLO004,FLO004,FRASCAROLO Grande (Chiesa),45.04614994,8.68269599
FTU001,FTU001,FORTUNAGO Costa Cavalieri (Bivio Fortunago),44.91465257,9.19118207
