fermata;lat;lon
CSC002;45,43307282;9,713074873
CSC001;45,43305056;9,713036239
CSS003;45,41900463;9,781929489
CST001;45,49608185;9,568742268
CST002;45,49578747;9,568700038
CSD005;45,52713793;9,514218602
CSD007;45,52856376;9,515408291
CSG002;45,46968762;9,717037067
CSG001;45,46968809;9,716962235
CHV006;45,34091296;9,618934398
CHV003;45,34581716;9,615528714
SMS004;45,15950662;9,137139491
SMS016;45,15921157;9,137101606
BRO001;45,07126963;9,264495582
CRM318;45,38138636;9,700038304
SER006;45,65243102;9,208989749
OFN017;45,38262787;9,737970348
RCG008;45,42241818;9,743612721
RCG005;45,42788282;9,745031807
RCG006;45,42794405;9,744859205
RCG007;45,42227142;9,743527071
CSS001;45,41408681;9,794659882
CSS004;45,41417284;9,794714766
OFN018;45,38268252;9,737871441
OFN003;45,37736704;9,733666274
TRG030;45,68007497;9,287387549
MNZ014;45,59972865;9,255515142
MNZ016;45,59958899;9,255501558
NVM009;45,58318092;9,19470242
PVM640;45,3420616;9,200325207
PAV014;45,1936364;9,162264017
CRM014;45,35858095;9,6738434
MLZ900;45,48983672;9,40849726
MLG039;45,35431252;9,315011878
VGN021;45,49931416;9,378666643
VGN022;45,49870222;9,374662365
MLZ100;45,50763517;9,423989554
MLZ101;45,50738387;9,423973329
COR901;45,65373213;9,460230259
CRU901;45,55750504;9,345633605
MLN501;45,51454944;9,208590756
MLZ901;45,49118122;9,417454628
OPR900;45,37535947;9,212952351
PAV257;45,17774096;9,198788927
BLZ002;45,54203171;9,445318144
BLZ003;45,53852947;9,448980189
BLZ001;45,54145839;9,445564676
BLZ004;45,53869247;9,448646685
BLZ005;45,52787328;9,450057486
BLZ006;45,52821843;9,450298407
BLZ007;45,54457471;9,445265795
BLZ008;45,54665855;9,450834819
PAV256;45,17818053;9,195315214
CDP002;45,51439771;9,355265871
CDP003;45,50767074;9,39467577
CLT001;45,38207254;9,335561965
CLT002;45,38196833;9,335811151
CLT003;45,37878453;9,33731603
CLT004;45,37900127;9,337195368
CLT005;45,38175208;9,351854494
CLT006;45,38183179;9,351878823
CLT007;45,38289095;9,35693779
CLT008;45,38295365;9,357027559
CLT009;45,38075617;9,355986274
CLT010;45,3805029;9,355979575
CMZ002;45,44275856;9,463322286
CMZ003;45,4405597;9,464621542
PLT020;45,50392519;9,328548983
PSBeroport;45,54862801;9,384410782
PSBtrentri;45,54473299;9,389634495
PSBmtgrrpe;45,5517482;9,381528606
BVS013;45,60208185;9,14577934
BVS014;45,60178751;9,145517415
BVS015;45,60605646;9,145899766
BVS016;45,60501958;9,14567682
BVS017;45,610236;9,147257317
BVS018;45,61221808;9,144110132
PAV015;45,20023293;9,136067714
CRN630;45,503743;9,032367069
CSG007;45,46476597;9,71305121
PAV258;45,17733337;9,202171981
PAV259;45,19241478;9,190377419
PAV261;45,19461135;9,190876569
PAV260;45,19295919;9,192170736
PAV262;45,19555111;9,188433817
CEM003;45,62442492;9,147266265
CEM004;45,62474732;9,148227225
CEM007;45,62693581;9,141657123
CRB715;45,6760809;9,227757568
CRB716;45,67397522;9,223715146
CRB717;45,67115662;9,227184928
CRB718;45,67380798;9,231396189
CRB719;45,67839816;9,236370959
CRB720;45,66688406;9,24582572
CRB721;45,67180053;9,243969669
CRB722;45,67363264;9,224039744
CRB723;45,66949535;9,230023517
CRB724;45,66535795;9,22923239
CRB725;45,66422818;9,230930926
CRB726;45,66750228;9,242286456
CRB727;45,66910942;9,239525539
CRB728;45,67049603;9,238370082
CRB729;45,66987908;9,234844691
CRB730;45,67182722;9,244182704
CRB731;45,67198758;9,247267731
CRB732;45,66876889;9,245174412
CRB733;45,67164357;9,230452248
CRB734;45,65973411;9,233833179
CRB735;45,66091114;9,240207808
CRB736;45,67844215;9,236169204
CRB737;45,67814024;9,2338048
CRB738;45,66690408;9,231937903
CRB740;45,66962644;9,234977692
CRB741;45,67060937;9,237905962
CRB742;45,66760342;9,241742927
CRB743;45,66522405;9,241556378
VMD010;45,5212761;9,284164786
VMD015;45,51057832;9,285187157
VMD016;45,50944611;9,272459999
VMD012;45,51645786;9,282469839
VMD011;45,52031986;9,291646501
VMD013;45,51482987;9,273883535
VMD009;45,52564038;9,299932453
VMD017;45,51240608;9,285919231
VMD018;45,52126657;9,287972331
VMD019;45,51483849;9,27499199
PLL026;45,42001997;9,395275155
PLL003;45,41987528;9,39552469
PLL007;45,42051439;9,399327783
ZBP006;45,41109868;9,432266462
CRB763;45,67537517;9,235079032
CRB764;45,67996095;9,242532448
CRB765;45,66782427;9,240503287
CRB766;45,68748125;9,237671363
CRB767;45,68745893;9,248167356
CRB768;45,68332877;9,248801453
CRB769;45,68407956;9,249879278
CRB770;45,68529316;9,248407221
CRB771;45,6717251;9,243637587
CRB772;45,6835129;9,248824947
CRB773;45,67728657;9,25447818
CRB774;45,67805566;9,244460756
CRB775;45,67629189;9,243481704
CRB776;45,68524631;9,249662565
CRB777;45,68581425;9,24856182
CRB778;45,67934617;9,245454263
CRB779;45,68120095;9,241642418
CRB780;45,67890424;9,241616071
CRB781;45,68096561;9,238298956
CRB782;45,67884399;9,242817726
CRB783;45,68579141;9,237594911
CRB784;45,67042464;9,234442906
CRB785;45,67088693;9,236788626
CRB786;45,6759734;9,233980091
CRB787;45,6686731;9,226057157
CRB788;45,67757099;9,228937342
CRB789;45,67978199;9,228151523
CRB790;45,66694577;9,232499724
CRB791;45,67452255;9,228277406
CRB792;45,67393786;9,240814081
CRB793;45,67132932;9,227422744
CRB794;45,67374855;9,224323081
CRB795;45,66900106;9,239282384
CRB796;45,67183519;9,241937769
CRB797;45,67347599;9,24161758
CRB798;45,6793397;9,235099563
CRB799;45,67377479;9,240483246
BRO013;45,06449774;9,264201482
BRO002;45,07143361;9,264477054
CSV001;45,69967565;9,2982604
CSV002;45,69943651;9,298397573
CUS001;45,55170771;9,187496372
CUS002;45,55457573;9,200037953
ZBP014;45,40989493;9,438894129
MLNm3pal7;45,4296321;9,255892943
MLZ039;45,49918853;9,428691827
MLZ069;45,49777272;9,421278509
MLZ043;45,49849565;9,430787701
MLZ041;45,49835079;9,426361699
